12.320.000;1.232;2.464
12.420.000;1.214;2.428
12.521.000;1.198;2.396
12.621.000;1.181;2.362
12.721.000;1.164;2.328
12.822.000;1.149;2.298
12.922.000;1.133;2.267
13.023.000;1.118;2.236
13.124.000;1.103;2.206
13.224.000;1.088;2.175
13.324.000;1.076;2.151
13.425.000;1.060;2.120
13.525.000;1.045;2.089
13.626.000;1.029;2.058
13.726.000;1.017;2.034
13.826.000;1.004;2.008
13.927.000;0.990;1.979
14.027.000;0.977;1.954
14.127.000;0.961;1.923
14.227.000;0.953;1.906
14.327.000;0.940;1.880
14.427.000;0.925;1.849
14.527.000;0.913;1.826
14.628.000;0.904;1.807
14.728.000;0.891;1.781
14.828.000;0.879;1.758
14.929.000;0.867;1.733
15.029.000;0.855;1.710
15.129.000;0.845;1.690
15.230.000;0.833;1.666
15.330.000;0.824;1.648
15.431.000;0.812;1.624
15.531.000;0.799;1.598
15.631.000;0.790;1.579
15.732.000;0.779;1.558
15.832.000;0.771;1.542
15.932.000;0.758;1.517
16.032.000;0.750;1.499
16.133.000;0.740;1.479
16.233.000;0.731;1.461
16.333.000;0.719;1.437
16.434.000;0.709;1.419
16.534.000;0.703;1.407
16.634.000;0.694;1.388
16.734.000;0.684;1.369
16.835.000;0.677;1.353
16.936.000;0.666;1.333
17.037.000;0.660;1.320
17.137.000;0.651;1.302
17.238.000;0.641;1.282
17.338.000;0.632;1.265
17.438.000;0.623;1.247
17.538.000;0.617;1.234
17.638.000;0.608;1.215
17.738.000;0.602;1.204
17.838.000;0.592;1.184
17.939.000;0.586;1.172
18.039.000;0.580;1.160
18.139.000;0.571;1.141
18.240.000;0.561;1.122
18.341.000;0.558;1.115
18.441.000;0.549;1.098
18.542.000;0.543;1.086
18.642.000;0.538;1.075
18.743.000;0.530;1.060
18.844.000;0.524;1.048
18.944.000;0.518;1.035
19.044.000;0.512;1.024
19.145.000;0.503;1.007
19.245.000;0.497;0.994
19.345.000;0.491;0.981
19.446.000;0.485;0.970
19.546.000;0.481;0.962
19.647.000;0.472;0.944
19.747.000;0.467;0.933
19.847.000;0.463;0.926
19.947.000;0.457;0.914
20.047.000;0.451;0.902
20.147.000;0.444;0.889
20.247.000;0.442;0.883
20.348.000;0.435;0.871
20.449.000;0.429;0.858
20.549.000;0.423;0.847
20.649.000;0.420;0.841
20.749.000;0.415;0.830
20.849.000;0.408;0.816
20.949.000;0.408;0.817
21.050.000;0.399;0.797
21.150.000;0.395;0.791
21.250.000;0.390;0.779
21.350.000;0.384;0.769
21.450.000;0.380;0.761
21.550.000;0.377;0.753
21.650.000;0.371;0.742
21.750.000;0.368;0.736
21.850.000;0.362;0.724
21.950.000;0.358;0.717
22.050.000;0.356;0.711
22.150.000;0.350;0.699
22.250.000;0.346;0.693
22.350.000;0.343;0.685
22.450.000;0.338;0.675
22.550.000;0.334;0.668
22.650.000;0.330;0.661
22.750.000;0.325;0.650
22.850.000;0.322;0.644
22.950.000;0.318;0.637
23.051.000;0.315;0.630
23.151.000;0.309;0.619
23.251.000;0.309;0.619
23.352.000;0.304;0.608
23.452.000;0.301;0.601
23.553.000;0.297;0.594
23.653.000;0.297;0.594
23.753.000;0.288;0.576
23.853.000;0.287;0.575
23.953.000;0.285;0.570
24.054.000;0.282;0.564
24.154.000;0.279;0.557
24.254.000;0.273;0.545
24.354.000;0.273;0.546
24.454.000;0.270;0.540
24.555.000;0.266;0.533
24.655.000;0.260;0.521
24.755.000;0.257;0.514
24.855.000;0.257;0.514
24.955.000;0.253;0.507
25.055.000;0.251;0.502
25.156.000;0.248;0.495
25.256.000;0.245;0.490
25.357.000;0.242;0.483
25.457.000;0.239;0.478
25.558.000;0.235;0.471
25.658.000;0.233;0.466
25.758.000;0.232;0.464
25.858.000;0.230;0.460
25.958.000;0.227;0.453
26.058.000;0.223;0.446
26.158.000;0.221;0.441
26.258.000;0.221;0.441
26.359.000;0.218;0.436
26.460.000;0.214;0.429
26.560.000;0.212;0.423
26.660.000;0.208;0.417
26.760.000;0.207;0.415
26.860.000;0.204;0.409
26.960.000;0.202;0.403
27.060.000;0.198;0.397
27.160.000;0.199;0.399
27.261.000;0.196;0.392
27.361.000;0.193;0.386
27.461.000;0.193;0.386
27.561.000;0.193;0.385
27.661.000;0.187;0.373
27.761.000;0.186;0.372
27.861.000;0.184;0.367
27.961.000;0.183;0.366
28.061.000;0.180;0.361
28.161.000;0.177;0.353
28.261.000;0.178;0.355
28.361.000;0.178;0.355
