15.395.000;3.896;7.792
15.496.000;3.897;7.793
15.597.000;3.896;7.792
15.697.000;3.897;7.793
15.797.000;3.897;7.793
15.898.000;3.896;7.793
15.998.000;3.896;7.793
16.098.000;3.896;7.793
16.199.000;3.897;7.793
16.299.000;3.893;7.787
16.399.000;3.896;7.793
16.500.000;3.896;7.792
16.600.000;3.896;7.792
16.700.000;3.897;7.793
16.801.000;3.893;7.786
16.901.000;3.896;7.791
17.001.000;3.893;7.787
17.101.000;3.894;7.788
17.201.000;3.896;7.793
17.301.000;3.896;7.792
17.401.000;3.893;7.787
17.501.000;3.893;7.786
17.601.000;3.893;7.786
17.702.000;3.894;7.789
17.802.000;3.896;7.793
17.902.000;3.893;7.786
18.002.000;3.896;7.793
18.103.000;3.894;7.787
18.204.000;3.893;7.787
18.305.000;3.896;7.791
18.405.000;3.896;7.793
18.505.000;3.894;7.787
18.605.000;3.893;7.787
18.706.000;3.896;7.793
18.806.000;3.896;7.792
18.907.000;3.897;7.793
19.008.000;3.896;7.792
19.108.000;3.893;7.786
19.209.000;3.890;7.780
19.309.000;3.893;7.786
19.409.000;3.896;7.792
19.509.000;3.894;7.787
19.609.000;3.893;7.786
19.709.000;3.896;7.792
19.810.000;3.893;7.787
19.910.000;3.890;7.780
20.011.000;3.896;7.792
20.111.000;3.893;7.786
20.211.000;3.897;7.793
